,Unnamed: 0,ID,,Model Spot,Model Fringe,Manual Spot,Manual Fringe,AvgQual,Num Photo,Year,Group_size
0,0,PC00394,,1,0,1,0,2,3,2015,6
1,1,PC00397,,1,0,1,0,2,1,2015,6
2,2,PC00552,,1,0,1,0,2,2,2015,21
3,3,PC00503,,1,0,1,0,2,1,2015,21
4,4,PC00194,,1,0,1,0,2,8,2015,20
5,5,PC00561,,1,0,0,0,2,6,2015,20
6,6,PC00285,,0,0,1,0,2,1,2015,38
7,7,PC00400,,0,0,0,0,2,1,2015,27
8,8,PC00356,,0,0,0,0,2,2,2015,38
9,9,PC00482,,1,0,1,0,2,1,2015,39
10,10,PC00132,,1,0,1,0,2,2,2015,38
11,11,PC00305,,1,0,0,0,2,1,2015,38
12,12,PC00559,,1,0,1,0,2,2,2015,38
13,13,PC00272,,1,1,0,1,2,2,2015,26
14,14,PC00210,,1,0,1,0,2,8,2015,26
15,15,PC00273,,1,1,1,1,2,3,2015,48
16,16,PC00254,,1,0,1,1,2,2,2015,39
17,17,PC00299,,1,1,1,1,2,4,2015,38
18,18,PC00432,,1,1,1,0,2,1,2015,39
19,19,PC00196,,1,0,1,0,2,1,2015,39
20,20,PC00496,,1,1,1,0,2,3,2015,34
21,21,PC00498,,1,0,1,0,2,2,2015,30
22,22,PC00281,,1,1,1,0,2,1,2015,20
23,23,PC00437,,1,1,1,0,2,3,2015,30
24,24,PC00367,,0,0,0,0,2,1,2015,26
25,25,PC00435,,0,0,0,0,2,1,2015,30
26,26,PC00519,,1,0,1,0,2,4,2015,30
27,27,PC00446,,1,0,0,0,2,2,2015,30
28,28,PC00547,,1,0,0,0,2,1,2015,30
29,29,PC00548,,0,0,1,0,2,1,2015,30
30,30,PC00512,,1,0,0,0,2,2,2015,20
31,31,PC00522,,1,1,1,0,2,1,2015,5
32,32,PC00284,,1,0,1,1,2,2,2015,5
33,33,PC00783,,0,0,0,0,2,1,2015,12
34,34,PC00414,,1,0,1,0,2,1,2015,13
35,35,PC00423,,0,0,1,0,2,1,2015,13
36,36,PC00401,,1,0,1,0,2,1,2015,13
37,37,PC00505,,1,0,1,0,2,1,2015,13
38,38,PC00447,,1,1,1,1,2,2,2015,34
39,39,PC00387,,1,0,1,1,2,4,2015,38
40,40,PC00249,,1,1,1,0,2,2,2015,38
41,41,PC00542,,1,0,1,0,2.166666667,5,2015,38
42,42,PC00198,,1,0,1,1,2,2,2015,38
43,43,PC00214,,1,0,1,0,2,1,2015,38
44,44,PC00096,,1,0,1,0,2,2,2015,38
45,45,PC00068,,1,0,1,0,2,4,2015,38
46,46,PC00527,,1,0,1,0,2,1,2015,38
47,47,PC00262,,1,1,1,1,2,4,2015,38
48,48,PC00619,,1,1,1,1,2.25,4,2015,38
49,49,PC00535,,0,0,1,0,2,1,2015,38
50,50,PC00185,,1,1,1,1,2.5,2,2015,38
51,51,PC00458,,0,0,1,0,2,1,2015,38
52,52,PC00283,,1,0,1,0,2,1,2015,38
53,53,PC00324,,1,0,1,0,2,2,2015,38
54,54,PC00544,,1,0,1,0,2,3,2015,38
56,56,PC00315,,0,0,1,0,2,1,2015,38
57,57,PC00399,,1,0,1,0,2,1,2015,38
58,58,PC00407,,1,0,1,0,2,2,2015,38
59,59,PC00453,,1,1,1,1,2,1,2015,48
60,60,PC00250,,1,1,1,0,2,2,2015,48
61,61,PC00554,,1,0,1,1,2,2,2015,38
62,62,PC00297,,1,1,1,1,2.5,2,2015,48
63,63,PC00526,,1,1,1,1,2,3,2015,38
65,65,PC00488,,1,1,1,0,2,1,2015,48
66,66,PC00553,,1,0,1,1,2,1,2015,48
67,67,PC00306,,0,0,1,1,2,2,2015,48
68,68,PC00146,,1,1,1,1,2,1,2015,48
69,69,PC00313,,1,1,1,0,3,1,2015,48
70,70,PC00263,,1,1,1,1,3,1,2015,48
71,71,PC00323,,1,0,0,0,2,1,2015,48
72,72,PC00478,,1,0,1,0,2,1,2015,48
73,73,PC00404,,1,0,1,0,2,1,2015,48
74,74,PC00172,,0,0,1,1,2,1,2015,48
75,75,PC00406,,1,1,1,1,2,1,2015,48
76,76,PC00238,,1,0,1,0,2,1,2015,48
77,77,PC00030,,1,1,1,1,2,2,2016,12
78,78,PC00344,,1,1,0,0,2,1,2016,69
80,80,PC00585,,1,1,0,0,2,1,2016,30
81,81,PC00028,,0,0,1,1,2.5,2,2016,12
82,82,PC00590,,1,1,0,0,2,1,2016,30
83,83,PC00607,,0,0,1,0,2,1,2016,60
84,84,PC00569,,1,1,0,0,2.333333333,3,2016,30
85,85,PC00570,,1,0,0,0,2,2,2016,30
86,86,PC00065,,1,0,1,1,2,1,2016,135
87,87,PC00598,,1,1,1,0,2,3,2016,26
88,88,PC00572,,1,0,0,0,2.5,2,2016,30
89,89,PC00429,,0,1,1,0,2,2,2016,7
90,90,PC00574,,1,0,0,0,2,2,2016,30
91,91,PC00135,,1,0,1,1,2,1,2016,135
92,92,PC00305,,1,0,1,0,2,2,2016,69
93,93,PC00012,,1,0,1,1,2,2,2016,135
94,94,PC00109,,0,0,1,0,2,2,2016,12
95,95,PC00606,,1,0,1,0,2,1,2016,69
96,96,PC00447,,1,1,1,0,2,1,2016,7
97,97,PC00599,,1,1,1,0,2.5,2,2016,38
99,99,PC00190,,0,0,1,0,2,2,2016,38
100,100,PC00068,,0,0,1,0,2,2,2016,60
101,101,PC00451,,1,0,0,0,2,1,2016,69
102,102,PC00063,,1,1,1,0,2,1,2016,135
103,103,PC00085,,1,0,0,1,2,2,2016,135
104,104,PC00568,,0,0,1,0,2,5,2016,2
105,105,PC00097,,0,0,1,1,2,1,2016,135
106,106,PC00059,,1,0,1,0,2,1,2016,135
107,107,PC00137,,1,0,0,0,2,2,2016,12
108,108,PC00327,,1,0,1,0,2,2,2016,69
109,109,PC00600,,1,0,1,0,2.5,2,2016,38
110,110,PC00122,,0,0,1,1,2,2,2016,135
111,111,PC00072,,1,0,0,1,2,1,2016,135
112,112,PC00542,,1,0,1,0,2,1,2016,69
113,113,PC00377,,1,0,1,0,2,1,2016,69
114,114,PC00098,,1,1,1,0,2,1,2016,135
115,115,PC00602,,1,1,1,0,2,1,2016,60
116,116,PC00262,,1,0,0,0,2,1,2016,69
117,117,PC00051,,1,0,1,1,2,1,2016,135
118,118,PC00009,,0,0,1,0,2,1,2016,135
119,119,PC00567,,1,0,1,1,2,4,2016,2
120,120,PC00597,,0,0,1,0,2,2,2016,2
121,121,PC00391,,1,1,0,0,2,1,2016,69
122,122,PC00641,,0,1,1,0,2,1,2016,7
123,123,PC00123,,1,0,1,0,2,2,2016,135
124,124,PC00019,,1,0,1,1,2,2,2016,135
126,126,PC00025,,1,0,1,0,2,1,2016,135
127,127,PC00049,,0,0,1,1,2,1,2016,135
128,128,PC00007,,1,1,1,1,2,3,2016,135
129,129,PC00256,,0,1,1,1,2,1,2017,118
130,130,PC00313,,1,0,1,0,2,1,2017,163
131,131,PC00233,,0,0,1,1,2,1,2017,163
132,132,PC00732,,1,0,1,0,2,1,2017,32
133,133,PC00747,,1,1,1,0,2,2,2017,30
134,134,PC00331,,1,0,1,1,2,1,2017,46
135,135,PC00687,,1,0,0,0,2,1,2017,41
136,136,PC00168,,1,0,1,1,2,1,2017,163
137,137,PC00667,,0,0,1,1,2,3,2017,21
138,138,PC00710,,1,0,1,0,2,1,2017,32
139,139,PC00180,,1,1,1,1,2,1,2017,46
140,140,PC00650,,0,0,1,1,2,1,2017,36
141,141,PC00306,,1,1,1,1,2,2,2017,118
142,142,PC00585,,1,1,1,0,2,4,2017,30
143,143,PC00296,,0,0,1,0,2.333333333,3,2017,163
144,144,PC00023,,1,1,1,0,2,1,2017,41
145,145,PC00689,,0,1,1,0,2,2,2017,30
146,146,PC00146,,1,0,1,0,2,1,2017,118
147,147,PC00342,,0,0,1,0,2,1,2017,46
148,148,PC00759,,1,0,1,1,2.666666667,3,2017,10
149,149,PC00495,,1,0,1,0,2,1,2017,163
150,150,PC00750,,1,0,1,1,2,1,2017,30
151,151,PC00757,,1,0,1,1,2,1,2017,37
152,152,PC00690,,1,0,1,0,2,1,2017,41
153,153,PC00618,,1,0,1,0,2,2,2017,118
154,154,PC00615,,1,0,0,1,2,1,2017,163
155,155,PC00516,,1,0,1,0,2,1,2017,163
156,156,PC00235,,1,1,1,1,2,2,2017,163
157,157,PC00435,,1,0,1,1,2,1,2017,22
158,158,PC00749,,0,0,1,0,2,2,2017,37
159,159,PC00767,,1,0,0,0,2,1,2017,30
160,160,PC00417,,1,0,1,0,2,1,2017,74
161,161,PC00384,,0,0,1,0,2,1,2017,39
162,162,PC00514,,1,0,1,0,2,1,2017,163
163,163,PC00285,,1,0,1,0,2,1,2017,81
164,164,PC00284,,0,1,0,0,2,1,2017,33
165,165,PC00315,,1,0,1,0,2,2,2017,66
166,166,PC00466,,1,0,1,1,2,1,2017,60
167,167,PC00716,,1,0,1,0,2,1,2017,37
168,168,PC00764,,1,0,0,0,2,2,2017,30
169,169,PC00473,,0,0,1,1,2,1,2017,118
170,170,PC00683,,1,1,1,0,2,2,2017,36
171,171,PC00210,,0,1,1,0,2,2,2017,118
172,172,PC00768,,0,0,1,1,2,1,2017,32
174,174,PC00737,,1,0,1,0,2,1,2017,37
175,175,PC00619,,1,0,0,0,2,1,2017,163
176,176,PC00300,,1,0,0,0,2,1,2017,46
177,177,PC00758,,1,0,1,0,2,1,2017,1
178,178,PC00316,,1,0,1,1,2,2,2017,63
179,179,PC00186,,1,1,1,1,2,1,2017,163
180,180,PC00726,,0,0,1,0,2,2,2017,37
181,181,PC00170,,0,0,1,0,2,5,2017,46
182,182,PC00214,,1,0,1,1,2,1,2017,118
183,183,PC00659,,1,0,1,0,2,2,2017,10
184,184,PC00198,,1,1,1,1,2,2,2017,118
185,185,PC00304,,1,0,1,0,2,1,2017,60
186,186,PC00297,,1,0,1,1,2,1,2017,118
187,187,PC00250,,0,0,1,0,2,2,2017,66
188,188,PC00314,,1,0,1,0,2,2,2017,118
189,189,PC00392,,1,1,1,1,3,1,2017,118
190,190,PC00721,,1,1,1,1,2,1,2017,41
191,191,PC00197,,0,0,0,0,2,1,2017,100
192,192,PC00712,,1,0,1,0,2,1,2017,36
193,193,PC00272,,1,0,1,1,2,1,2017,118
195,195,PC00191,,1,0,1,1,2,1,2017,46
196,196,PC00778,,1,0,0,0,2,1,2017,5
197,197,PC00270,,1,1,1,1,3,1,2017,118
198,198,PC00445,,1,0,1,0,2,1,2017,118
199,199,PC00707,,0,0,0,0,2,1,2017,26
200,200,PC00728,,1,0,1,1,2,1,2017,30
201,201,PC00311,,1,0,1,0,2,1,2017,118
202,202,PC00264,,1,1,1,0,2,1,2017,46
203,203,PC00199,,1,0,1,1,2,1,2017,163
204,204,PC00722,,1,0,1,1,2,1,2017,13
205,205,PC00190,,1,0,1,0,2,1,2017,118
206,206,PC00678,,0,0,0,1,2,3,2017,10
207,207,PC00699,,1,0,0,0,2,1,2017,41
208,208,PC00582,,1,0,1,0,3,1,2017,41
209,209,PC00381,,1,1,1,1,2,1,2017,163
210,210,PC00709,,1,0,1,0,2,2,2017,33
211,211,PC00424,,0,0,1,0,2,1,2017,118
212,212,PC00389,,1,0,0,0,2,1,2017,46
213,213,PC00559,,1,1,1,0,2,1,2017,163
214,214,PC00362,,1,0,0,0,2,1,2017,163
215,215,PC00236,,1,0,1,1,2,1,2017,163
216,216,PC00345,,1,0,1,0,2,1,2017,118
,,,,1,0,,,,,,
,,,,0,0,,,,,,
,,,,0,0,,,,,,
,,,,1,0,,,,,,
,,,,1,0,,,,,,
,,,,1,1,,,,,,
,,,,0,0,,,,,,
